date,tide_prediction_m,wind_speed_knots,weather_disturbance,wave_height_m,astronomical_event,label_rob
2020-05-18,1.0,0,1,1.25,0,0
2020-05-19,1.1,0,1,1.25,0,0
2020-05-20,1.2,0,1,1.0,1,0
2020-05-21,1.3,15,1,1.0,1,0
2020-05-22,1.4,10,1,0.75,1,0
2020-05-23,1.4,15,1,0.75,1,0
2020-05-24,1.5,15,1,0.75,1,1
2020-05-25,1.5,25,1,1.5,1,1
2020-05-26,1.5,15,1,2.0,1,1
2020-05-27,1.5,15,1,2.0,1,1
2020-05-28,1.4,8,1,2.0,1,0
2020-05-29,1.4,8,0,1.5,0,0
2020-05-30,1.2,10,0,1.5,0,0
2020-12-10,1.2,15,0,0.75,0,0
2020-12-11,1.3,25,0,1.25,0,0
2020-12-12,1.4,25,0,1.25,1,0
2020-12-13,1.5,15,0,1.0,1,0
2020-12-14,1.5,20,1,1.25,1,0
2020-12-15,1.6,15,1,1.25,1,1
2020-12-16,1.6,20,1,1.25,1,1
2020-12-17,1.6,25,1,1.5,1,1
2020-12-18,1.5,20,0,1.5,0,0
2020-12-19,1.4,20,0,1.5,0,0
2020-12-20,1.3,20,0,0.5,0,0
2020-12-21,1.2,15,0,0.5,0,0
2021-11-02,1.2,0,1,1.0,1,0
2021-11-03,1.3,10,1,1.0,1,0
2021-11-04,1.4,10,1,1.0,1,0
2021-11-05,1.5,15,1,1.5,1,1
2021-11-06,1.6,20,1,1.5,1,1
2021-11-07,1.6,25,1,1.5,1,1
2021-11-08,1.6,20,1,1.5,0,1
2021-11-09,1.6,15,1,1.5,0,1
